"machine","location_type","num_vendex_nearby_300","train_AvgDailyPassengers","train_AvgWorkingDayPassengers","n_density_5km","income_average","total_number_of_routes_600","num_hotels","num_hotels_45","small_machine"
1227,"others",1,NA,NA,760.099626400996,71969,19,0,0,0
1228,"petrol station",0,NA,NA,807.767175572519,143815,17,0,0,0
1229,"petrol station",0,NA,NA,4878.04780876494,49336,7,0,0,1
1230,"transport",2,6800,8000,581.305637982196,45155,99,2,1,0
1231,"petrol station",0,NA,NA,221.215066828676,46491,3,0,0,0
1232,"others",0,NA,NA,1878.81147540984,51792,20,1,0,0
1233,"others",2,NA,NA,1694.07243816254,51792,39,2,0,0
1234,"transport",3,19500,22700,1348.52398523985,49085,60,1,0,0
1235,"petrol station",2,NA,NA,132.231121281465,51244,NA,0,0,0
1236,"petrol station",2,NA,NA,132.231121281465,51244,NA,0,0,1
1237,"petrol station",2,NA,NA,1260.85336538462,70488,24,0,0,0
1238,"others",0,NA,NA,669.250909090909,51162,19,0,0,0
1239,"others",0,NA,NA,465.81589958159,60127,10,1,0,0
1240,"transport",1,480,570,50.3501400560224,NA,4,0,0,1
1241,"others",0,NA,NA,201.836734693878,46985,3,0,0,0
1242,"others",0,NA,NA,764.878048780488,72349,12,0,0,0
1243,"others",0,NA,NA,84.9860335195531,50798,18,0,0,0
1244,"others",0,NA,NA,817.838312829526,44827,69,9,2,0
1245,"transport",0,NA,NA,147.231222385862,44985,NA,0,0,1
1246,"others",0,NA,NA,700.816326530612,57445,1,0,0,1
1247,"transport",0,510,610,1199.25207756233,54617,11,0,0,1
1248,"others",2,NA,NA,1107.92428198433,43291,20,1,0,1
1249,"transport",0,370,320,407.697974217311,55367,13,0,0,1
1250,"others",0,NA,NA,5181.77156177156,56368,49,1,0,0
1251,"petrol station",0,NA,NA,833.305785123967,55955,7,0,0,0
1252,"transport",0,4400,5200,742.910447761194,66867,6,0,0,0
1253,"transport",2,8600,10100,1646.02385685885,61851,29,0,0,1
1254,"others",1,130,130,409.374262101535,52088,17,3,0,1
1255,"others",0,NA,NA,486.825396825397,48992,20,0,0,0
1256,"petrol station",0,NA,NA,540.630630630631,58759,16,1,0,0
1257,"transport",0,32000,35300,985.60248447205,47239,6,0,0,0
1258,"transport",0,NA,NA,80.7584269662921,38796,9,0,0,0
1259,"others",0,NA,NA,229.926686217009,NA,7,0,0,1
1260,"others",0,NA,NA,1232.41954707986,49085,5,0,0,0
1261,"petrol station",1,NA,NA,1448.97271268058,NA,5,0,0,0
1262,"petrol station",0,NA,NA,88.7410926365796,45262,12,0,0,1
1263,"petrol station",0,NA,NA,1088.72824631861,75046,2,0,0,0
1264,"others",0,NA,NA,153.208036292936,53188,25,2,0,1
1265,"others",0,NA,NA,930.600676818951,63137,26,1,0,0
1266,"transport",9,42800,48000,1095.88624338624,40982,165,3,1,0
1267,"transport",25,180700,202600,2100.64994298746,51792,417,10,5,0
1268,"others",0,NA,NA,1210.87378640777,97773,12,0,0,1
1269,"transport",0,NA,NA,580.647619047619,70869,7,0,0,0
1270,"transport",1,32000,35300,951.019473081329,4885900,10,0,0,0
1271,"petrol station",0,NA,NA,252.805005213764,46551,89,1,0,0
1272,"petrol station",0,NA,NA,73.6127167630058,39224,2,0,0,0
1273,"others",0,NA,NA,306.647727272727,41914,9,0,0,1
1274,"others",0,NA,NA,581.305637982196,45155,65,2,1,1
1275,"petrol station",0,NA,NA,152.139253279516,56528,9,0,0,1
1276,"transport",1,1200,1400,376.889204545455,56094,1,0,0,1
1277,"transport",1,7700,8700,436.723237597911,60660,31,0,0,0
1278,"petrol station",0,NA,NA,238.42509603073,46544,2,0,0,1
1279,"others",0,NA,NA,282.18487394958,47359,4,0,0,1
1280,"transport",7,180700,202600,1832.00183654729,51792,42,0,0,1
1281,"others",2,NA,NA,449.120095124851,55344,37,0,0,0
1282,"transport",3,NA,NA,15.399889685604,31570,10,2,0,0
1283,"transport",0,1000,1200,95.7768508863399,56094,16,0,0,0
1284,"others",0,NA,NA,170.901033973412,47892,NA,0,0,1
1285,"transport",1,3500,4000,256.107142857143,46424,23,0,0,1
1286,"transport",0,2400,2800,1035.82061068702,50467,64,1,0,0
1287,"others",0,NA,NA,1185.46610169492,62986,2,0,0,0
1288,"transport",0,210,210,121.641541038526,NA,2,0,0,1
1289,"others",0,NA,NA,538.357771260997,57959,10,0,0,0
1290,"transport",11,14100,16400,879.546191247974,56451,172,13,2,0
1291,"transport",0,1400,1600,527.341463414634,NA,NA,0,0,0
